date,value,yoy_pct,mom_pct,chg_1m,chg_1y,pct_from_peak
1701-01-31,5.47,,,,,-77.3311
1702-01-31,5.32,,-2.7422,-0.15,,-77.9528
1703-01-31,5.69,,6.9549,0.37,,-76.4194
1704-01-31,5.36,,-5.7996,-0.33,,-77.787
1705-01-31,4.88,,-8.9552,-0.48,,-79.7762
1706-01-31,4.81,,-1.4344,-0.07,,-80.0663
1707-01-31,5.27,,9.5634,0.46,,-78.16
1708-01-31,5.19,,-1.518,-0.08,,-78.4915
1709-01-31,7.1,,36.8015,1.91,,-70.576
1710-01-31,7.59,,6.9014,0.49,,-68.5454
1711-01-31,9.14,,20.4216,1.55,,-62.1218
1712-01-31,10.69,,16.9584,1.55,,-55.6983
1713-01-31,9.57,74.9543,-10.4771,-1.12,4.1,-60.3398
1714-01-31,12.03,126.1278,25.7053,2.46,6.71,-50.145
1715-01-31,8.92,56.7663,-25.852,-3.11,3.23,-63.0336
1716-01-31,11.81,120.3358,32.3991,2.89,6.45,-51.0568
1717-01-31,11.11,127.6639,-5.9272,-0.7,6.23,-53.9577
1718-01-31,9.84,104.5738,-11.4311,-1.27,5.03,-59.2209
1719-01-31,9.48,79.8861,-3.6585,-0.36,4.21,-60.7128
1720-01-31,11.9,129.2871,25.5274,2.42,6.71,-50.6838
1721-01-31,9.76,37.4648,-17.9832,-2.14,2.66,-59.5524
1722-01-31,12.35,62.7141,26.5369,2.59,4.76,-48.8189
1723-01-31,15.32,67.6149,24.0486,2.97,6.18,-36.5106
1724-01-31,18.18,70.0655,18.6684,2.86,7.49,-24.6581
1725-01-31,17.1,78.6834,-5.9406,-1.08,7.53,-29.1339
1726-01-31,16.62,38.1546,-2.807,-0.48,4.59,-31.1231
1727-01-31,19.11,114.2377,14.9819,2.49,10.19,-20.804
1728-01-31,19.33,63.6749,1.1512,0.22,7.52,-19.8923
1729-01-31,17.15,54.3654,-11.2778,-2.18,6.04,-28.9266
1730-01-31,18.84,91.4634,9.8542,1.69,9.0,-21.9229
1731-01-31,19.79,108.7553,5.0425,0.95,10.31,-17.9859
1732-01-31,20.81,74.8739,5.1541,1.02,8.91,-13.7588
1733-01-31,19.92,104.0984,-4.2768,-0.89,10.16,-17.4472
1734-01-31,20.23,63.8057,1.5562,0.31,7.88,-16.1625
1735-01-31,20.3,32.5065,0.346,0.07,4.98,-15.8724
1736-01-31,20.53,12.9263,1.133,0.23,2.35,-14.9192
1737-01-31,18.55,8.4795,-9.6444,-1.98,1.45,-23.1247
1738-01-31,20.11,20.9988,8.4097,1.56,3.49,-16.6598
1739-01-31,19.69,3.0351,-2.0885,-0.42,0.58,-18.4003
1740-01-31,20.43,5.6906,3.7583,0.74,1.1,-15.3336
1741-01-31,19.16,11.7201,-6.2163,-1.27,2.01,-20.5968
1742-01-31,19.12,1.4862,-0.2088,-0.04,0.28,-20.7625
1743-01-31,19.13,-3.335,0.0523,0.01,-0.66,-20.7211
1744-01-31,19.76,-5.0457,3.2933,0.63,-1.05,-18.1102
1745-01-31,18.48,-7.2289,-6.4777,-1.28,-1.44,-23.4148
1746-01-31,20.46,1.1369,10.7143,1.98,0.23,-15.2093
1747-01-31,19.07,-6.0591,-6.7937,-1.39,-1.23,-20.9697
1748-01-31,17.93,-12.6644,-5.978,-1.14,-2.6,-25.6942
1749-01-31,18.42,-0.7008,2.7328,0.49,-0.13,-23.6635
1750-01-31,18.52,-7.9065,0.5429,0.1,-1.59,-23.2491
1751-01-31,19.32,-1.8791,4.3197,0.8,-0.37,-19.9337
1752-01-31,19.41,-4.9927,0.4658,0.09,-1.02,-19.5607
1753-01-31,17.2,-10.2296,-11.3859,-2.21,-1.96,-28.7194
1754-01-31,17.0,-11.0879,-1.1628,-0.2,-2.12,-29.5483
1755-01-31,18.25,-4.6001,7.3529,1.25,-0.88,-24.368
1756-01-31,18.95,-4.0992,3.8356,0.7,-0.81,-21.4671
1757-01-31,19.27,4.2749,1.6887,0.32,0.79,-20.1409
1758-01-31,16.27,-20.479,-15.5682,-3.0,-4.19,-32.5736
1759-01-31,15.68,-17.7766,-3.6263,-0.59,-3.39,-35.0186
1760-01-31,16.86,-5.9677,7.5255,1.18,-1.07,-30.1285
1761-01-31,16.88,-8.3605,0.1186,0.02,-1.54,-30.0456
1762-01-31,17.48,-5.6156,3.5545,0.6,-1.04,-27.5591
1763-01-31,16.51,-14.5445,-5.5492,-0.97,-2.81,-31.5789
1764-01-31,16.26,-16.2287,-1.5142,-0.25,-3.15,-32.615
1765-01-31,15.68,-8.8372,-3.567,-0.58,-1.52,-35.0186
1766-01-31,15.22,-10.4706,-2.9337,-0.46,-1.78,-36.925
1767-01-31,14.81,-18.8493,-2.6938,-0.41,-3.44,-38.6241
1768-01-31,14.84,-21.6887,0.2026,0.03,-4.11,-38.4998
1769-01-31,15.03,-22.0031,1.2803,0.19,-4.24,-37.7124
1770-01-31,14.86,-8.6663,-1.1311,-0.17,-1.41,-38.4169
1771-01-31,16.45,4.9107,10.6999,1.59,0.77,-31.8276
1772-01-31,14.37,-14.7687,-12.6444,-2.08,-2.49,-40.4476
1773-01-31,14.43,-14.5142,0.4175,0.06,-2.45,-40.1989
1774-01-31,15.36,-12.1281,6.4449,0.93,-2.12,-36.3448
1775-01-31,16.64,0.7874,8.3333,1.28,0.13,-31.0402
1776-01-31,15.58,-4.182,-6.3702,-1.06,-0.68,-35.4331
1777-01-31,15.53,-0.9566,-0.3209,-0.05,-0.15,-35.6403
1778-01-31,14.24,-6.4389,-8.3065,-1.29,-0.98,-40.9863
1779-01-31,15.47,4.4564,8.6376,1.23,0.66,-35.8889
1780-01-31,15.83,6.6712,2.3271,0.36,0.99,-34.397
1781-01-31,14.97,-0.3992,-5.4327,-0.86,-0.06,-37.961
1782-01-31,13.92,-6.3257,-7.014,-1.05,-0.94,-42.3125
1783-01-31,13.31,-19.0881,-4.3822,-0.61,-3.14,-44.8404
1784-01-31,12.93,-10.0209,-2.855,-0.38,-1.44,-46.4153
1785-01-31,14.12,-2.1483,9.2034,1.19,-0.31,-41.4836
1786-01-31,15.36,0.0,8.7819,1.24,0.0,-36.3448
1787-01-31,14.48,-12.9808,-5.7292,-0.88,-2.16,-39.9917
1788-01-31,15.7,0.7702,8.4254,1.22,0.12,-34.9358
1789-01-31,16.61,6.9543,5.7962,0.91,1.08,-31.1645
1790-01-31,16.59,16.5028,-0.1204,-0.02,2.35,-31.2474
1791-01-31,16.12,4.2017,-2.833,-0.47,0.65,-33.1952
1792-01-31,15.29,-3.4112,-5.1489,-0.83,-0.54,-36.6349
1793-01-31,14.35,-4.1416,-6.1478,-0.94,-0.62,-40.5305
1794-01-31,14.22,2.1552,-0.9059,-0.13,0.3,-41.0692
1795-01-31,16.66,25.169,17.1589,2.44,3.35,-30.9573
1796-01-31,12.21,-5.5684,-26.7107,-4.45,-0.72,-49.3991
1797-01-31,11.14,-21.1048,-8.7633,-1.07,-2.98,-53.8334
1798-01-31,12.79,-16.7318,14.8115,1.65,-2.57,-46.9954
1799-01-31,12.69,-12.3619,-0.7819,-0.1,-1.79,-47.4099
1800-01-31,12.8,-18.4713,0.8668,0.11,-2.9,-46.954
1801-01-31,12.26,-26.189,-4.2188,-0.54,-4.35,-49.1919
1802-01-31,10.21,-38.4569,-16.721,-2.05,-6.38,-57.6875
1803-01-31,11.9,-26.1787,16.5524,1.69,-4.22,-50.6838
1804-01-31,12.86,-15.8927,8.0672,0.96,-2.43,-46.7053
1805-01-31,13.41,-6.5505,4.2768,0.55,-0.94,-44.426
1806-01-31,11.48,-19.2686,-14.3922,-1.93,-2.74,-52.4244
1807-01-31,11.28,-32.2929,-1.7422,-0.2,-5.38,-53.2532
1808-01-31,11.12,-8.9271,-1.4184,-0.16,-1.09,-53.9163
1809-01-31,11.12,-0.1795,0.0,0.0,-0.02,-53.9163
1810-01-31,11.94,-6.6458,7.3741,0.82,-0.85,-50.518
1811-01-31,12.07,-4.8857,1.0888,0.13,-0.62,-49.9793
1812-01-31,13.08,2.1875,8.3679,1.01,0.28,-45.7936
1813-01-31,12.58,2.6101,-3.8226,-0.5,0.32,-47.8657
1814-01-31,12.35,20.9598,-1.8283,-0.23,2.14,-48.8189
1815-01-31,13.86,16.4706,12.2267,1.51,1.96,-42.5611
1816-01-31,13.58,5.5988,-2.0202,-0.28,0.72,-43.7215
1817-01-31,19.26,43.6242,41.8262,5.68,5.85,-20.1823
1818-01-31,14.48,26.1324,-24.8183,-4.78,3.0,-39.9917
1819-01-31,12.78,13.2979,-11.7403,-1.7,1.5,-47.0369
1820-01-31,12.74,14.5683,-0.313,-0.04,1.62,-47.2027
1821-01-31,13.05,17.3561,2.4333,0.31,1.93,-45.9179
1822-01-31,12.24,2.5126,-6.2069,-0.81,0.3,-49.2748
1823-01-31,13.25,9.7763,8.2516,1.01,1.18,-45.0891
1824-01-31,13.09,0.0765,-1.2075,-0.16,0.01,-45.7522
1825-01-31,12.4,-1.4308,-5.2712,-0.69,-0.18,-48.6117
1826-01-31,12.17,-1.4575,-1.8548,-0.23,-0.18,-49.5649
1827-01-31,14.99,8.153,23.1717,2.82,1.13,-37.8782
1828-01-31,14.83,9.2047,-1.0674,-0.16,1.25,-38.5412
1829-01-31,14.31,-25.7009,-3.5064,-0.52,-4.95,-40.6962
1830-01-31,15.99,10.4282,11.74,1.68,1.51,-33.7339
1831-01-31,15.48,21.1268,-3.1895,-0.51,2.7,-35.8475
1832-01-31,15.76,23.7049,1.8088,0.28,3.02,-34.6871
1833-01-31,16.99,30.1916,7.8046,1.23,3.94,-29.5897
1834-01-31,17.05,39.2974,0.3531,0.06,4.81,-29.3411
1835-01-31,16.03,20.9811,-5.9824,-1.02,2.78,-33.5682
1836-01-31,15.66,19.6333,-2.3082,-0.37,2.57,-35.1015
1837-01-31,14.04,13.2258,-10.3448,-1.62,1.64,-41.8152
1838-01-31,15.37,26.2942,9.4729,1.33,3.2,-36.3034
1839-01-31,14.2,-5.2702,-7.6122,-1.17,-0.79,-41.1521
1840-01-31,12.91,-12.9467,-9.0845,-1.29,-1.92,-46.4981
1841-01-31,13.95,-2.5157,8.0558,1.04,-0.36,-42.1881
1842-01-31,14.69,-8.1301,5.3047,0.74,-1.3,-39.1214
1843-01-31,16.75,8.2041,14.0231,2.06,1.27,-30.5843
1844-01-31,16.83,6.7893,0.4776,0.08,1.07,-30.2528
1845-01-31,11.76,-30.7828,-30.1248,-5.07,-5.23,-51.264
1846-01-31,12.57,-26.2757,6.8878,0.81,-4.48,-47.9072
1847-01-31,10.08,-37.1179,-19.8091,-2.49,-5.95,-58.2263
1848-01-31,10.06,-35.7599,-0.1984,-0.02,-5.6,-58.3092
1849-01-31,10.8,-23.0769,7.3559,0.74,-3.24,-55.2424
1850-01-31,11.3,-26.4802,4.6296,0.5,-4.07,-53.1703
1851-01-31,11.67,-17.8169,3.2743,0.37,-2.53,-51.637
1852-01-31,12.56,-2.7111,7.6264,0.89,-0.35,-47.9486
1853-01-31,12.08,-13.405,-3.8217,-0.48,-1.87,-49.9378
1854-01-31,9.63,-34.4452,-20.2815,-2.45,-5.06,-60.0912
1855-01-31,8.42,-49.7313,-12.5649,-1.21,-8.33,-65.1057
1856-01-31,8.67,-48.4848,2.9691,0.25,-8.16,-64.0696
1857-01-31,8.23,-30.017,-5.075,-0.44,-3.53,-65.8931
1858-01-31,9.52,-24.2641,15.6744,1.29,-3.05,-60.547
1859-01-31,10.48,3.9683,10.084,0.96,0.4,-56.5686
1860-01-31,9.13,-9.2445,-12.8817,-1.35,-0.93,-62.1633
1861-01-31,7.97,-26.2037,-12.7054,-1.16,-2.83,-66.9706
1862-01-31,8.48,-24.9558,6.399,0.51,-2.82,-64.857
1863-01-31,8.34,-28.5347,-1.6509,-0.14,-3.33,-65.4372
1864-01-31,7.51,-40.207,-9.952,-0.83,-5.05,-68.8769
1865-01-31,7.22,-40.2318,-3.8615,-0.29,-4.86,-70.0787
1866-01-31,6.84,-28.972,-5.2632,-0.38,-2.79,-71.6535
1867-01-31,7.8,-7.3634,14.0351,0.96,-0.62,-67.6751
1868-01-31,8.03,-7.3818,2.9487,0.23,-0.64,-66.7219
1869-01-31,7.45,-9.4775,-7.2229,-0.58,-0.78,-69.1256
1870-01-31,7.82,-17.8571,4.9664,0.37,-1.7,-67.5922
1871-01-31,7.71,-26.4313,-1.4066,-0.11,-2.77,-68.0481
1872-01-31,7.55,-17.3056,-2.0752,-0.16,-1.58,-68.7111
1873-01-31,7.41,-7.0263,-1.8543,-0.14,-0.56,-69.2913
1874-01-31,6.42,-24.2925,-13.3603,-0.99,-2.06,-73.3941
1875-01-31,6.09,-26.9784,-5.1402,-0.33,-2.25,-74.7617
1876-01-31,6.61,-11.984,8.5386,0.52,-0.9,-72.6067
1877-01-31,7.39,2.3546,11.8003,0.78,0.17,-69.3742
1878-01-31,7.15,4.5322,-3.2476,-0.24,0.31,-70.3688
1879-01-31,8.49,8.8462,18.7413,1.34,0.69,-64.8156
1880-01-31,8.23,2.4907,-3.0624,-0.26,0.2,-65.8931
1881-01-31,7.67,2.953,-6.8044,-0.56,0.22,-68.2138
1882-01-31,6.9,-11.7647,-10.0391,-0.77,-0.92,-71.4049
1883-01-31,6.93,-10.1167,0.4348,0.03,-0.78,-71.2806
1884-01-31,6.94,-8.0795,0.1443,0.01,-0.61,-71.2391
1885-01-31,7.34,-0.9447,5.7637,0.4,-0.07,-69.5814
1886-01-31,7.04,9.6573,-4.0872,-0.3,0.62,-70.8247
1887-01-31,6.97,14.4499,-0.9943,-0.07,0.88,-71.1148
1888-01-31,7.04,6.5053,1.0043,0.07,0.43,-70.8247
1889-01-31,6.66,-9.8782,-5.3977,-0.38,-0.73,-72.3995
1890-01-31,6.56,-8.2517,-1.5015,-0.1,-0.59,-72.8139
1891-01-31,6.83,-19.5524,4.1159,0.27,-1.66,-71.695
1892-01-31,6.66,-19.0765,-2.489,-0.17,-1.57,-72.3995
1893-01-31,6.91,-9.9087,3.7538,0.25,-0.76,-71.3634
1894-01-31,7.26,5.2174,5.0651,0.35,0.36,-69.913
1895-01-31,7.49,8.0808,3.168,0.23,0.56,-68.9598
1896-01-31,9.61,38.4726,28.3044,2.12,2.67,-60.1741
1897-01-31,8.15,11.0354,-15.1925,-1.46,0.81,-66.2246
1898-01-31,7.57,7.5284,-7.1166,-0.58,0.53,-68.6283
1899-01-31,7.08,1.5782,-6.4729,-0.49,0.11,-70.6589
1900-01-31,6.93,-1.5625,-2.1186,-0.15,-0.11,-71.2806
1901-01-31,6.64,-0.3003,-4.1847,-0.29,-0.02,-72.4824
1902-01-31,6.97,6.25,4.9699,0.33,0.41,-71.1148
1903-01-31,6.61,-3.2211,-5.165,-0.36,-0.22,-72.6067
1904-01-31,6.63,-0.4505,0.3026,0.02,-0.03,-72.5238
1905-01-31,6.86,-0.7236,3.4691,0.23,-0.05,-71.5707
1906-01-31,6.99,-3.719,1.895,0.13,-0.27,-71.0319
1907-01-31,6.42,-14.2857,-8.1545,-0.57,-1.07,-73.3941
1908-01-31,6.47,-32.6743,0.7788,0.05,-3.14,-73.1869
1909-01-31,6.54,-19.7546,1.0819,0.07,-1.61,-72.8968
1910-01-31,6.13,-19.0225,-6.2691,-0.41,-1.44,-74.5959
1911-01-31,6.16,-12.9944,0.4894,0.03,-0.92,-74.4716
1912-01-31,6.42,-7.3593,4.2208,0.26,-0.51,-73.3941
1913-01-31,6.01,-9.488,-6.3863,-0.41,-0.63,-75.0932
1914-01-31,5.9,-15.3515,-1.8303,-0.11,-1.07,-75.5491
1915-01-31,10.63,60.8169,80.1695,4.73,4.02,-55.947
1916-01-31,8.22,23.9819,-22.6717,-2.41,1.59,-65.9345
1917-01-31,9.03,31.6327,9.854,0.81,2.17,-62.5777
1918-01-31,6.27,-10.3004,-30.5648,-2.76,-0.72,-74.0157
1919-01-31,5.27,-17.9128,-15.949,-1.0,-1.15,-78.16
1920-01-31,6.3,-2.6275,19.5446,1.03,-0.17,-73.8914
1921-01-31,4.97,-24.0061,-21.1111,-1.33,-1.57,-79.4032
1922-01-31,6.28,2.447,26.3581,1.31,0.15,-73.9743
1923-01-31,6.77,9.9026,7.8025,0.49,0.61,-71.9436
1924-01-31,6.91,7.6324,2.0679,0.14,0.49,-71.3634
1925-01-31,6.7,11.4809,-3.0391,-0.21,0.69,-72.2337
1926-01-31,6.88,16.6102,2.6866,0.18,0.98,-71.4878
1927-01-31,7.12,-33.0198,3.4884,0.24,-3.51,-70.4932
1928-01-31,6.73,-18.1265,-5.4775,-0.39,-1.49,-72.1094
1929-01-31,11.93,32.1152,77.266,5.2,2.9,-50.5595
1930-01-31,11.51,83.5726,-3.5205,-0.42,5.24,-52.3
1931-01-31,11.69,121.8216,1.5639,0.18,6.42,-51.5541
1932-01-31,12.51,98.5714,7.0145,0.82,6.21,-48.1558
1933-01-31,14.4,189.7384,15.1079,1.89,9.43,-40.3232
1934-01-31,14.96,138.2166,3.8889,0.56,8.68,-38.0025
1935-01-31,14.17,109.3058,-5.2807,-0.79,7.4,-41.2764
1936-01-31,13.62,97.1056,-3.8814,-0.55,6.71,-43.5557
1937-01-31,14.0,108.9552,2.79,0.38,7.3,-41.9809
1938-01-31,13.46,95.6395,-3.8571,-0.54,6.58,-44.2188
1939-01-31,12.99,82.4438,-3.4918,-0.47,5.87,-46.1666
1940-01-31,13.51,100.7429,4.0031,0.52,6.78,-44.0116
1941-01-31,11.92,-0.0838,-11.7691,-1.59,-0.01,-50.6009
1942-01-31,11.79,2.4327,-1.0906,-0.13,0.28,-51.1397
1943-01-31,13.01,11.2917,10.3478,1.22,1.32,-46.0837
1944-01-31,13.98,11.7506,7.4558,0.97,1.47,-42.0638
1945-01-31,15.6,8.3333,11.588,1.62,1.2,-35.3502
1946-01-31,17.76,18.7166,13.8462,2.16,2.8,-26.3987
1947-01-31,18.82,32.8158,5.9685,1.06,4.65,-22.0058
1948-01-31,16.74,22.9075,-11.0521,-2.08,3.12,-30.6258
1949-01-31,14.97,6.9286,-10.5735,-1.77,0.97,-37.961
1950-01-31,15.13,12.4071,1.0688,0.16,1.67,-37.298
1951-01-31,13.73,5.6967,-9.2531,-1.4,0.74,-43.0999
1952-01-31,12.39,-8.2902,-9.7597,-1.34,-1.12,-48.6531
1953-01-31,12.28,3.0201,-0.8878,-0.11,0.36,-49.109
1954-01-31,11.59,-1.6964,-5.6189,-0.69,-0.2,-51.9685
1955-01-31,11.75,-9.6849,1.3805,0.16,-1.26,-51.3054
1956-01-31,11.28,-19.3133,-4.0,-0.47,-2.7,-53.2532
1957-01-31,10.72,-31.2821,-4.9645,-0.56,-4.88,-55.574
1958-01-31,10.43,-41.2725,-2.7052,-0.29,-7.33,-56.7758
1959-01-31,10.22,-45.6961,-2.0134,-0.21,-8.6,-57.6461
1960-01-31,10.2,-39.0681,-0.1957,-0.02,-6.54,-57.729
1961-01-31,10.47,-30.0601,2.6471,0.27,-4.5,-56.61
1962-01-31,10.4,-31.2624,-0.6686,-0.07,-4.73,-56.9001
1963-01-31,9.24,-32.7021,-11.1538,-1.16,-4.49,-61.7074
1964-01-31,9.07,-26.7958,-1.8398,-0.17,-3.32,-62.4119
1965-01-31,8.92,-27.3616,-1.6538,-0.15,-3.36,-63.0336
1966-01-31,8.93,-22.9508,0.1121,0.01,-2.66,-62.9921
1967-01-31,8.96,-23.7447,0.3359,0.03,-2.79,-62.8678
1968-01-31,7.9,-29.9645,-11.8304,-1.06,-3.38,-67.2607
1969-01-31,8.45,-21.1754,6.962,0.55,-2.27,-64.9814
1970-01-31,7.82,-25.024,-7.4556,-0.63,-2.61,-67.5922
1971-01-31,8.35,-18.2975,6.7775,0.53,-1.87,-65.3958
1972-01-31,6.77,-33.6275,-18.9222,-1.58,-3.43,-71.9436
1973-01-31,7.8,-25.5014,15.2142,1.03,-2.67,-67.6751
1974-01-31,8.06,-22.5,3.3333,0.26,-2.34,-66.5976
1975-01-31,7.53,-18.5065,-6.5757,-0.53,-1.71,-68.794
1976-01-31,6.7,-26.1301,-11.0226,-0.83,-2.37,-72.2337
1977-01-31,5.99,-32.8475,-10.597,-0.71,-2.93,-75.1761
1978-01-31,6.3,-29.4513,5.1753,0.31,-2.63,-73.8914
1979-01-31,5.51,-38.5045,-12.5397,-0.79,-3.45,-77.1654
1980-01-31,5.04,-36.2025,-8.5299,-0.47,-2.86,-79.1131
1981-01-31,4.69,-44.497,-6.9444,-0.35,-3.76,-80.5636
1982-01-31,4.41,-43.6061,-5.9701,-0.28,-3.41,-81.724
1983-01-31,5.04,-39.6407,14.2857,0.63,-3.31,-79.1131
1984-01-31,4.11,-39.291,-18.4524,-0.93,-2.66,-82.9673
1985-01-31,5.23,-32.9487,27.2506,1.12,-2.57,-78.3257
1986-01-31,4.66,-42.1836,-10.8987,-0.57,-3.4,-80.6879
1987-01-31,3.89,-48.34,-16.5236,-0.77,-3.64,-83.879
1988-01-31,3.43,-48.806,-11.8252,-0.46,-3.27,-85.7853
1989-01-31,3.14,-47.5793,-8.4548,-0.29,-2.85,-86.9872
1990-01-31,3.06,-51.4286,-2.5478,-0.08,-3.24,-87.3187
1991-01-31,2.97,-46.098,-2.9412,-0.09,-2.54,-87.6917
1992-01-31,2.91,-42.2619,-2.0202,-0.06,-2.13,-87.9403
1993-01-31,3.41,-27.2921,17.1821,0.5,-1.28,-85.8682
1994-01-31,3.47,-21.3152,1.7595,0.06,-0.94,-85.6196
1995-01-31,3.04,-39.6825,-12.3919,-0.43,-2.0,-87.4016
1996-01-31,3.01,-26.764,-0.9868,-0.03,-1.1,-87.5259
1997-01-31,3.01,-42.4474,0.0,0.0,-2.22,-87.5259
1998-01-31,3.48,-25.3219,15.6146,0.47,-1.18,-85.5781
1999-01-31,10.4,167.3522,198.8506,6.92,6.51,-56.9001
2000-01-31,7.91,130.6122,-23.9423,-2.49,4.48,-67.2192
2001-01-31,3.5,11.465,-55.7522,-4.41,0.36,-85.4952
2002-01-31,3.69,20.5882,5.4286,0.19,0.63,-84.7078
2003-01-31,3.98,34.0067,7.8591,0.29,1.01,-83.506
2004-01-31,3.91,34.3643,-1.7588,-0.07,1.0,-83.7961
2005-01-31,4.27,25.2199,9.2072,0.36,0.86,-82.3042
2006-01-31,4.48,29.1066,4.918,0.21,1.01,-81.4339
2007-01-31,5.29,74.0132,18.0804,0.81,2.25,-78.0771
2008-01-31,6.38,111.9601,20.6049,1.09,3.37,-73.5599
2009-01-31,10.77,257.8073,68.8088,4.39,7.76,-55.3668
2010-01-31,16.27,367.5287,51.0678,5.5,12.79,-32.5736
2011-01-31,15.37,47.7885,-5.5317,-0.9,4.97,-36.3034
2012-01-31,19.13,141.8458,24.4632,3.76,11.22,-20.7211
2013-01-31,24.13,589.4286,26.137,5.0,20.63,0.0
2014-01-31,23.17,527.9133,-3.9785,-0.96,19.48,-3.9785
2015-01-31,22.54,466.3317,-2.719,-0.63,18.56,-6.5893
2016-01-31,22.6,478.0051,0.2662,0.06,18.69,-6.3407
